genes,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,group,type
Dclre1a,134.95475747208354,21.47265191404812,2.099877100548337,10.225670782561993,1.5217076425444866e-24,2.696189268472004e-22,3,Significant
Vps37c,133.86998933271278,22.17985038393269,2.2055183995434744,10.056524755596575,8.59799916986214e-24,1.2890384909277932e-21,3,Significant
Crat,90.95504913659575,19.411991935477527,2.680608169552935,7.241637235894498,4.4330027744443084e-13,1.9636187289527175e-11,3,Significant
Lcmt2,107.05462351221824,21.521425567655125,1.8510374360702695,11.626683041778374,3.0159022573053307e-31,2.9389967497440446e-28,3,Significant
Nfatc2,63.638465949249834,-23.402759543877636,2.4594980324397593,-9.515258493889785,1.8126168099512246e-21,1.7663950812974683e-19,3,Significant
Plxdc2,273.7113526934656,-11.793396251518063,1.6727482190239296,-7.050311647260138,1.7851750958701244e-12,6.958612523701745e-11,3,Significant
I830077J02Rik,105.56164390603189,21.768601485778998,2.322320078917217,9.373643919028,7.007068600620109e-21,6.503227001242187e-19,3,Significant
Manea,111.13419959314376,20.560666465351627,2.243878635113279,9.163002910945606,5.04728482983518e-20,4.098815888895319e-18,3,Significant
Tbc1d2,145.09282845968852,21.299238058755062,1.7072578455614393,12.47570079360257,1.013109238883926e-35,1.9745499065847717e-32,3,Significant
Junos,75.82380969960185,22.221926244698096,2.412810705156668,9.209974987762328,3.2620093214176076e-20,2.7641983336708335e-18,3,Significant
Hectd3,25.700471907085472,20.38042664330754,2.4873193347835767,8.193731443446064,2.532497828532315e-16,1.5424494586904632e-14,3,Significant
Naaa,22.292873877966887,21.85709796377335,2.7008931313218936,8.092544540285408,5.843102438879399e-16,3.450971713144227e-14,3,Significant
Gm15581,85.12330541923484,22.004050932801622,2.2732358463462767,9.679616379518325,3.6809456623560504e-22,3.9856461644066344e-20,3,Significant
Gimap8,156.26959841193406,-28.798489400431485,2.925687248048322,-9.843324647787451,7.324940165649268e-23,8.922692739281514e-21,3,Significant
Far2,294.24288451931443,25.04377661825088,2.335314983358791,10.723939509963408,7.858330839336132e-27,2.4039397851677525e-24,3,Significant
Zfp507,141.6337135874936,22.54986663733641,2.298533667251678,9.810544417345406,1.0141989301966096e-22,1.162749244090113e-20,3,Significant
Hbb-bt,21.75017081915365,-25.060446850905066,3.488641668570393,-7.183439639753704,6.797905560959151e-13,2.8802430300672576e-11,3,Significant
Zfp790,93.05018447246712,21.990884567509138,2.0043483082995976,10.97158835939311,5.234467710781512e-28,2.5504943920782916e-25,3,Significant
Casp12,7.21401000953762,-25.417311232044707,3.265304649546278,-7.78405507601764,7.023615805954988e-15,3.422256801451568e-13,3,Significant
Trpc6,210.35895270768015,-12.156043616147251,1.7174049793553554,-7.078146251043327,1.4609550111588618e-12,5.81102309540535e-11,3,Significant
Pcsk7,170.0680402252657,22.25391810253495,2.076848728700541,10.715233033105381,8.633955103219223e-27,2.4039397851677525e-24,3,Significant
